DATE,MRTSSM4453USN
2006-04-01,2791
2006-05-01,3017
2006-06-01,3055
2006-07-01,3117
2006-08-01,3024
2006-09-01,2997
2006-10-01,2913
2006-11-01,3137
2006-12-01,4269
2007-01-01,2569
2007-02-01,2603
2007-03-01,3005
2007-04-01,2867
2007-05-01,3262
2007-06-01,3364
2007-07-01,3322
2007-08-01,3292
2007-09-01,3057
2007-10-01,3087
2007-11-01,3297
2007-12-01,4403
2008-01-01,2675
2008-02-01,2806
2008-03-01,2989
2008-04-01,2997
2008-05-01,3420
2008-06-01,3279
2008-07-01,3517
2008-08-01,3472
2008-09-01,3151
2008-10-01,3351
2008-11-01,3386
2008-12-01,4461
2009-01-01,2913
2009-02-01,2781
2009-03-01,3024
2009-04-01,3130
2009-05-01,3467
2009-06-01,3307
2009-07-01,3555
2009-08-01,3399
2009-09-01,3263
2009-10-01,3425
2009-11-01,3356
2009-12-01,4625
2010-01-01,2878
2010-02-01,2916
2010-03-01,3214
2010-04-01,3310
2010-05-01,3467
2010-06-01,3438
2010-07-01,3657
2010-08-01,3454
2010-09-01,3365
2010-10-01,3497
2010-11-01,3524
2010-12-01,4681
2011-01-01,2888
2011-02-01,2984
2011-03-01,3249
2011-04-01,3363
2011-05-01,3471
2011-06-01,3551
2011-07-01,3740
2011-08-01,3576
2011-09-01,3517
2011-10-01,3515
2011-11-01,3646
2011-12-01,4892
2012-01-01,2995
2012-02-01,3202
2012-03-01,3550
2012-04-01,3409
2012-05-01,3786
2012-06-01,3816
2012-07-01,3733
2012-08-01,3752
2012-09-01,3503
2012-10-01,3626
2012-11-01,3869
2012-12-01,5124
2013-01-01,3143
2013-02-01,3211
2013-03-01,3601
2013-04-01,3462
2013-05-01,3915
2013-06-01,3773
2013-07-01,3993
2013-08-01,4054
2013-09-01,3587
2013-10-01,3738
2013-11-01,4004
2013-12-01,5143
2014-01-01,3331
2014-02-01,3258
2014-03-01,3594
2014-04-01,3641
2014-05-01,4093
2014-06-01,3962
2014-07-01,4161
2014-08-01,4134
2014-09-01,3733
2014-10-01,3999
2014-11-01,4006
2014-12-01,5437
2015-01-01,3481
2015-02-01,3392
2015-03-01,3755
2015-04-01,3761
2015-05-01,4214
2015-06-01,4097
2015-07-01,4401
2015-08-01,4133
2015-09-01,3950
2015-10-01,4140
2015-11-01,4131
2015-12-01,5628
2016-01-01,3487
2016-02-01,3642
2016-03-01,3909
2016-04-01,3967
2016-05-01,4243
2016-06-01,4310
2016-07-01,4576
2016-08-01,4311
2016-09-01,4264
2016-10-01,4266
2016-11-01,4492
2016-12-01,5818
2017-01-01,3580
2017-02-01,3609
2017-03-01,4077
2017-04-01,4079
2017-05-01,4457
2017-06-01,4482
2017-07-01,4598
2017-08-01,4451
2017-09-01,4344
2017-10-01,4341
2017-11-01,4635
2017-12-01,5969
2018-01-01,3786
2018-02-01,3787
2018-03-01,4432
2018-04-01,4138
2018-05-01,4698
2018-06-01,4736
2018-07-01,4757
2018-08-01,4693
2018-09-01,4413
2018-10-01,4553
2018-11-01,4924
2018-12-01,6126
2019-01-01,3932
2019-02-01,3915
2019-03-01,4445
2019-04-01,4358
2019-05-01,4863
2019-06-01,4770
2019-07-01,4994
2019-08-01,5020
2019-09-01,4457
2019-10-01,4683
2019-11-01,5060
2019-12-01,6325
2020-01-01,4178
2020-02-01,4301
2020-03-01,5223
2020-04-01,4888
2020-05-01,5893
2020-06-01,5719
2020-07-01,6056
2020-08-01,5773
2020-09-01,5539
2020-10-01,5719
2020-11-01,5759
2020-12-01,7297
2021-01-01,5052
2021-02-01,4916
2021-03-01,5659
2021-04-01,5647
2021-05-01,6030
2021-06-01,5962
2021-07-01,6129
2021-08-01,5677
2021-09-01,5543
2021-10-01,5724
2021-11-01,5980
2021-12-01,7582
2022-01-01,4889
2022-02-01,5000
2022-03-01,5531
2022-04-01,5639
2022-05-01,5830
2022-06-01,5940
2022-07-01,6118
2022-08-01,5864
2022-09-01,5728
2022-10-01,5854
2022-11-01,6138
2022-12-01,7801
2023-01-01,5093
2023-02-01,5071
2023-03-01,5645
2023-04-01,5641
2023-05-01,6185.0
2023-06-01,6158.0
